SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
MHS,MHS,MEZZ,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",65,,,,,"42""",,,7.0 lbs,,
Z3,Z3,MISC,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,,,0.0 lbs,,
Z4,Z4,MISC,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,,,,,,0.0 lbs,,
Z5,Z5,MISC,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is made to last through extended periods of intense industrial usage.",55,,,,,,,,0.0 lbs,,
Z6,Z6,MISC,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,,,0.0 lbs,,
G1,G1,MP GRAT,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,,,,,,0.4 lbs,,
G4,G4,MP GRAT,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,,,0.4 lbs,,
G5,G5,MP GRAT,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is providing a solid and reliable solution for high-traffic areas.",55,,,,,,,,0.4 lbs,,
G7,G7,MP GRAT,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,,,,,,1.0 lbs,,
G8,G8,MP GRAT,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,,,,,,1.0 lbs,,
GZF,GZF,MP GRAT,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,,,,,,0.0 lbs,,
BBD18,B DECK,RIB DECK,"With a width of 36"" and a depth of standard, this 18 gauge steel component ensures long-lasting performance in tough industrial settings. It is built to handle tough conditions and provide superior performance over time.",70,,"36""",,18,,,,2.72 lbs,,
BBD20,B DECK,RIB DECK,"Crafted from 20 gauge steel, this item spans 36"" in width and standard in depth, providing reliable strength for industrial applications. It is designed to withstand heavy-duty use while maintaining structural integrity.",70,,"36""",,20,,,,6.1 lbs,,
BBD22,B DECK,RIB DECK,"Measuring 36"" in width and standard in depth, this 22 gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",70,,"36""",,22,,,,5.0 lbs,,
DBD18,B DECK,RIB DECK,"With a width of 36"" and a depth of standard, this 18 gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",70,,"36""",,18,,,,8.2 lbs,,
DBD20,B DECK,RIB DECK,"This product is built for demanding environments, featuring 36"" width, standard depth, and a sturdy 20 gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",70,,"36""",,20,,,,6.4 lbs,,
DBD22,B DECK,RIB DECK,"This product is built for demanding environments, featuring 36"" width, standard depth, and a sturdy 22 gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",70,,"36""",,22,,,,5.4 lbs,,
CUSTOM,CUSTOM,CUSTOM,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,,,,,,0.0 lbs,,
MISC,MISC,MISC,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,,,0.0 lbs,,
MP DECK,MP DECK,MP DECK,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. It is made to last through extended periods of intense industrial usage.",70,,,,,,,,0.0 lbs,,
MP GRAT,MP GRAT,,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is built to handle tough conditions and provide superior performance over time.",,,,,,,,,0.0 lbs,,
RACK-SPI,RACK-SPI,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,,,,,,0.0 lbs,,
STAIRS,STAIRS,STAIRS,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is made to last through extended periods of intense industrial usage.",65,,,,,,,,0.0 lbs,,
B4,B4,RACK-K,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,,,1.55 lbs,,part
GENERAL,GENERAL,GENERAL,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,,,,,,0.0 lbs,,
UC,UC,RACK-K,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,,,1.8 lbs,,part
COATING,COATING,,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. It is providing a solid and reliable solution for high-traffic areas.",,,,,,,,,0.0 lbs,,
HO,CUSTOM,CUSTOM,"Designed for reliability, this product is standard wide, standard deep, and made with durable 10 gauge steel, ideal for heavy-duty use. It is made to last through extended periods of intense industrial usage.",55,,,,10,,,,1.0 lbs,,part
BF30,BF,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,,,5.5 lbs,,
BH30,BH,RACK-SPI,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,,,2.9 lbs,,
UR6,UR,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 6"" in length, offering enhanced durability and stability. It is crafted for durability and strength in a variety of demanding settings.",55,,,,,,"6""",,0.5 lbs,,
UR9,UR,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 9"" in length, offering enhanced durability and stability. It is made to last through extended periods of intense industrial usage.",55,,,,,,"9""",,1.6 lbs,,
UR18,UR,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. Additionally, it spans 18"" in length, offering enhanced durability and stability. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,"18""",,1.8 lbs,,
UR30,UR,RACK-SPI,"Designed for reliability, this product is standard wide, standard deep, and made with durable standard gauge steel, ideal for heavy-duty use. Additionally, it spans 30"" in length, offering enhanced durability and stability. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,,,,"30""",,4.8 lbs,,
UR42,UR,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. Additionally, it spans 42"" in length, offering enhanced durability and stability. It is built to handle tough conditions and provide superior performance over time.",55,,,,,,"42""",,6.7 lbs,,
UW6,UW,RACK-SPI,"Crafted from standard gauge steel, this item spans standard in width and standard in depth, providing reliable strength for industrial applications. Additionally, it spans 6"" in length, offering enhanced durability and stability. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,,,,"6""",,0.8 lbs,,
UW9,UW,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. Additionally, it spans 9"" in length, offering enhanced durability and stability. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,"9""",,1.6 lbs,,
UW18,UW,RACK-SPI,"This product is built for demanding environments, featuring standard width, standard depth, and a sturdy standard gauge construction. Additionally, it spans 18"" in length, offering enhanced durability and stability. It is providing a solid and reliable solution for high-traffic areas.",55,,,,,,"18""",,3.0 lbs,,
UW30,UW,RACK-SPI,"Measuring standard in width and standard in depth, this standard gauge steel product is engineered for industrial-grade performance. Additionally, it spans 30"" in length, offering enhanced durability and stability. It is crafted for durability and strength in a variety of demanding settings.",55,,,,,,"30""",,4.8 lbs,,
UW42,UW,RACK-SPI,"With a width of standard and a depth of standard, this standard gauge steel component ensures long-lasting performance in tough industrial settings. Additionally, it spans 42"" in length, offering enhanced durability and stability. It is offering exceptional durability in rigorous industrial applications.",55,,,,,,"42""",,6.7 lbs,,
U18K3072,U18K,RACK-K,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"30""",,"72""",,15450 lbs,31.0 lbs,,
U18T4296,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 42"" depth, and a sturdy standard gauge construction. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"42""",,"96""",,13250 lbs,46.0 lbs,,
U18T36120,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 36"" in depth, providing reliable strength for industrial applications. It is crafted for durability and strength in a variety of demanding settings.",55,,,"36""",,"120""",,13250 lbs,53.0 lbs,,
U18T42120,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 42"" in depth, providing reliable strength for industrial applications. It is built to handle tough conditions and provide superior performance over time.",55,,,"42""",,"120""",,13250 lbs,55.0 lbs,,
U18T36144,U18T,RACK-T,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,"36""",,"144""",,13250 lbs,65.0 lbs,,
U18T42144,U18T,RACK-T,"Measuring standard in width and 42"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"42""",,"144""",,13250 lbs,68.0 lbs,,
U18T48144,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 48"" in depth, providing reliable strength for industrial applications. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"48""",,"144""",,13250 lbs,71.0 lbs,,
U18T42192,U18T,RACK-T,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"42""",,"192""",,13250 lbs,89.0 lbs,,
U18T3696,U18T,RACK-T,"Designed for reliability, this product is standard wide, 36"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"36""",,"96""",,13250 lbs,44.0 lbs,,
U18K3696,U18K,RACK-K,"Measuring standard in width and 36"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering exceptional durability in rigorous industrial applications.",55,,,"36""",,"96""",,15450 lbs,44.0 lbs,,
U18K4296,U18K,RACK-K,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is crafted for durability and strength in a variety of demanding settings.",55,,,"42""",,"96""",,15450 lbs,46.0 lbs,,
U18K36120,U18K,RACK-K,"Designed for reliability, this product is standard wide, 36"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",55,,,"36""",,"120""",,15450 lbs,53.0 lbs,,
U18K42120,U18K,RACK-K,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is made to last through extended periods of intense industrial usage.",55,,,"42""",,"120""",,15450 lbs,55.0 lbs,,
U18K36144,U18K,RACK-K,"Measuring standard in width and 36"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is made to last through extended periods of intense industrial usage.",55,,,"36""",,"144""",,15450 lbs,65.0 lbs,,
U18K42144,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 42"" in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",55,,,"42""",,"144""",,15450 lbs,68.0 lbs,,
U18K48144,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 48"" in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",55,,,"48""",,"144""",,15450 lbs,71.0 lbs,,
U18K42192,U18K,RACK-K,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"42""",,"192""",,15450 lbs,89.0 lbs,,
U18T3072,U18T,RACK-T,"Measuring standard in width and 30"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,"30""",,"72""",,13250 lbs,31.0 lbs,,
U18T3672,U18T,RACK-T,"Measuring standard in width and 36"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is made to last through extended periods of intense industrial usage.",55,,,"36""",,"72""",,13250 lbs,32.0 lbs,,
U18T4272,U18T,RACK-T,"Measuring standard in width and 42"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"42""",,"72""",,13250 lbs,34.0 lbs,,
U18T4872,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 48"" depth, and a sturdy standard gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"48""",,"72""",,13250 lbs,35.0 lbs,,
U18T3084,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 30"" in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"84""",,13250 lbs,36.0 lbs,,
U18T3684,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 36"" depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",55,,,"36""",,"84""",,13250 lbs,37.0 lbs,,
U18T4284,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 42"" depth, and a sturdy standard gauge construction. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"42""",,"84""",,13250 lbs,38.0 lbs,,
U18T4884,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 48"" depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,"48""",,"84""",,13250 lbs,39.0 lbs,,
U18T3096,U18T,RACK-T,"Measuring standard in width and 30"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"30""",,"96""",,13250 lbs,42.0 lbs,,
U18T4896,U18T,RACK-T,"With a width of standard and a depth of 48"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"48""",,"96""",,13250 lbs,48.0 lbs,,
U18T30108,U18T,RACK-T,"Measuring standard in width and 30"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"30""",,"108""",,13250 lbs,46.0 lbs,,
U18T36108,U18T,RACK-T,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is crafted for durability and strength in a variety of demanding settings.",55,,,"36""",,"108""",,13250 lbs,48.0 lbs,,
U18T42108,U18T,RACK-T,"Measuring standard in width and 42"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering exceptional durability in rigorous industrial applications.",55,,,"42""",,"108""",,13250 lbs,50.0 lbs,,
U18T48108,U18T,RACK-T,"Designed for reliability, this product is standard wide, 48"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"48""",,"108""",,13250 lbs,52.0 lbs,,
U18T30132,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,"30""",,"132""",,13250 lbs,55.0 lbs,,
U18T36132,U18T,RACK-T,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"36""",,"132""",,13250 lbs,57.0 lbs,,
U18T48132,U18T,RACK-T,"Designed for reliability, this product is standard wide, 48"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",55,,,"48""",,"132""",,13250 lbs,61.0 lbs,,
U18T30144,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"144""",,13250 lbs,62.0 lbs,,
U18T30156,U18T,RACK-T,"With a width of standard and a depth of 30"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering exceptional durability in rigorous industrial applications.",55,,,"30""",,"156""",,13250 lbs,66.0 lbs,,
U18T36156,U18T,RACK-T,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is built to handle tough conditions and provide superior performance over time.",55,,,"36""",,"156""",,13250 lbs,69.0 lbs,,
U18T42156,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 42"" in depth, providing reliable strength for industrial applications. It is made to last through extended periods of intense industrial usage.",55,,,"42""",,"156""",,13250 lbs,72.0 lbs,,
U18T48156,U18T,RACK-T,"Designed for reliability, this product is standard wide, 48"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"48""",,"156""",,13250 lbs,74.0 lbs,,
U18T30168,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"168""",,13250 lbs,70.0 lbs,,
U18T36168,U18T,RACK-T,"Designed for reliability, this product is standard wide, 36"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"36""",,"168""",,13250 lbs,73.0 lbs,,
U18T42168,U18T,RACK-T,"Measuring standard in width and 42"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"42""",,"168""",,13250 lbs,76.0 lbs,,
U18T48168,U18T,RACK-T,"Measuring standard in width and 48"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ideal for supporting industrial processes that require robust materials.",55,,,"48""",,"168""",,13250 lbs,79.0 lbs,,
U18T30180,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",55,,,"30""",,"180""",,13250 lbs,75.0 lbs,,
U18T30120,U18T,RACK-T,"Crafted from standard gauge steel, this item spans standard in width and 30"" in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"120""",,13250 lbs,51.0 lbs,,
U18T48120,U18T,RACK-T,"With a width of standard and a depth of 48"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"48""",,"120""",,13250 lbs,57.0 lbs,,
U18T42132,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 42"" depth, and a sturdy standard gauge construction. It is built to handle tough conditions and provide superior performance over time.",55,,,"42""",,"132""",,13250 lbs,58.0 lbs,,
U18T36180,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 36"" depth, and a sturdy standard gauge construction. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,"36""",,"180""",,13250 lbs,77.0 lbs,,
U18T42180,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 42"" depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",55,,,"42""",,"180""",,13250 lbs,80.0 lbs,,
U18T48180,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 48"" depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"48""",,"180""",,13250 lbs,83.0 lbs,,
U18T30192,U18T,RACK-T,"Designed for reliability, this product is standard wide, 30"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is built to handle tough conditions and provide superior performance over time.",55,,,"30""",,"192""",,13250 lbs,82.0 lbs,,
U18T36192,U18T,RACK-T,"This product is built for demanding environments, featuring standard width, 36"" depth, and a sturdy standard gauge construction. It is crafted for durability and strength in a variety of demanding settings.",55,,,"36""",,"192""",,13250 lbs,85.0 lbs,,
U18T48192,U18T,RACK-T,"With a width of standard and a depth of 48"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is made to last through extended periods of intense industrial usage.",55,,,"48""",,"192""",,13250 lbs,93.0 lbs,,
U18K3672,U18K,RACK-K,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is built to handle tough conditions and provide superior performance over time.",55,,,"36""",,"72""",,15450 lbs,32.0 lbs,,
U18K4272,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 42"" in depth, providing reliable strength for industrial applications. It is providing a solid and reliable solution for high-traffic areas.",55,,,"42""",,"72""",,15450 lbs,34.0 lbs,,
U18K4872,U18K,RACK-K,"This product is built for demanding environments, featuring standard width, 48"" depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"48""",,"72""",,15450 lbs,35.0 lbs,,
U18K3084,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 30"" in depth, providing reliable strength for industrial applications. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"84""",,15450 lbs,36.0 lbs,,
U18K3684,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 36"" in depth, providing reliable strength for industrial applications. It is offering exceptional durability in rigorous industrial applications.",55,,,"36""",,"84""",,15450 lbs,37.0 lbs,,
U18K4284,U18K,RACK-K,"Designed for reliability, this product is standard wide, 42"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",55,,,"42""",,"84""",,15450 lbs,38.0 lbs,,
U18K4884,U18K,RACK-K,"Measuring standard in width and 48"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is built to handle tough conditions and provide superior performance over time.",55,,,"48""",,"84""",,15450 lbs,39.0 lbs,,
U18K3096,U18K,RACK-K,"With a width of standard and a depth of 30"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering exceptional durability in rigorous industrial applications.",55,,,"30""",,"96""",,15450 lbs,42.0 lbs,,
U18K4896,U18K,RACK-K,"This product is built for demanding environments, featuring standard width, 48"" depth, and a sturdy standard gauge construction. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"48""",,"96""",,15450 lbs,48.0 lbs,,
U18K30108,U18K,RACK-K,"This product is built for demanding environments, featuring standard width, 30"" depth, and a sturdy standard gauge construction. It is made to last through extended periods of intense industrial usage.",55,,,"30""",,"108""",,15450 lbs,46.0 lbs,,
U18K36108,U18K,RACK-K,"Measuring standard in width and 36"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is offering exceptional durability in rigorous industrial applications.",55,,,"36""",,"108""",,15450 lbs,48.0 lbs,,
U18K42108,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 42"" in depth, providing reliable strength for industrial applications. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"42""",,"108""",,15450 lbs,50.0 lbs,,
U18K48108,U18K,RACK-K,"With a width of standard and a depth of 48"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,"48""",,"108""",,15450 lbs,52.0 lbs,,
U18K30120,U18K,RACK-K,"Measuring standard in width and 30"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is built to handle tough conditions and provide superior performance over time.",55,,,"30""",,"120""",,15450 lbs,51.0 lbs,,
U18K48120,U18K,RACK-K,"Measuring standard in width and 48"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is crafted for durability and strength in a variety of demanding settings.",55,,,"48""",,"120""",,15450 lbs,57.0 lbs,,
U18K30132,U18K,RACK-K,"Crafted from standard gauge steel, this item spans standard in width and 30"" in depth, providing reliable strength for industrial applications. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"30""",,"132""",,15450 lbs,55.0 lbs,,
U18K36132,U18K,RACK-K,"Designed for reliability, this product is standard wide, 36"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is crafted for durability and strength in a variety of demanding settings.",55,,,"36""",,"132""",,15450 lbs,57.0 lbs,,
U18K48132,U18K,RACK-K,"Designed for reliability, this product is standard wide, 48"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"48""",,"132""",,15450 lbs,61.0 lbs,,
U18K30144,U18K,RACK-K,"Designed for reliability, this product is standard wide, 30"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is designed to withstand heavy-duty use while maintaining structural integrity.",55,,,"30""",,"144""",,15450 lbs,62.0 lbs,,
U18K30156,U18K,RACK-K,"Designed for reliability, this product is standard wide, 30"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"156""",,15450 lbs,66.0 lbs,,
U18K36156,U18K,RACK-K,"Designed for reliability, this product is standard wide, 36"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"36""",,"156""",,15450 lbs,69.0 lbs,,
U18K42156,U18K,RACK-K,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,"42""",,"156""",,15450 lbs,72.0 lbs,,
U18K48156,U18K,RACK-K,"Measuring standard in width and 48"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ideal for supporting industrial processes that require robust materials.",55,,,"48""",,"156""",,15450 lbs,74.0 lbs,,
U18K30168,U18K,RACK-K,"With a width of standard and a depth of 30"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,"30""",,"168""",,15450 lbs,70.0 lbs,,
U18K36168,U18K,RACK-K,"Measuring standard in width and 36"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ensuring long-lasting reliability even in the most demanding industrial environments.",55,,,"36""",,"168""",,15450 lbs,73.0 lbs,,
U18K42168,U18K,RACK-K,"With a width of standard and a depth of 42"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is ideal for supporting industrial processes that require robust materials.",55,,,"42""",,"168""",,15450 lbs,76.0 lbs,,
U18K48168,U18K,RACK-K,"With a width of standard and a depth of 48"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is offering superior resistance to wear and tear in heavy-use scenarios.",55,,,"48""",,"168""",,15450 lbs,79.0 lbs,,
U18K30180,U18K,RACK-K,"Measuring standard in width and 30"" in depth, this standard gauge steel product is engineered for industrial-grade performance. It is ideal for supporting industrial processes that require robust materials.",55,,,"30""",,"180""",,15450 lbs,75.0 lbs,,
U18K36180,U18K,RACK-K,"With a width of standard and a depth of 36"", this standard gauge steel component ensures long-lasting performance in tough industrial settings. It is providing a solid and reliable solution for high-traffic areas.",55,,,"36""",,"180""",,15450 lbs,77.0 lbs,,
U18K42180,U18K,RACK-K,"Designed for reliability, this product is standard wide, 42"" deep, and made with durable standard gauge steel, ideal for heavy-duty use. It is engineered for continuous use in challenging conditions, ensuring dependable performance.",55,,,"42""",,"180""",,15450 lbs,80.0 lbs,,
